"id","issue_count","issues"
"akadaemia_anyder","3","boss_no_mnemonic: Ashelia | boss_no_mnemonic: Frigid Stars | boss_no_mnemonic: Ipheion"
"alexander_-_the_arm_of_the_father","3","mnemonic_no_zh: '3）Cascade' | desc_truncated: '- 4 players get markers above their head. These players should spread out from the rest of the raid, as they will deal AoE damage around themselves. S...' | desc_truncated: '- Raidwide that knocks each player in a random direction. The knockback distance is slightly less than the radius of the platform. To avoid being knoc...'"
"alexander_-_the_arm_of_the_father_savage","1","boss_no_mnemonic: Living Liquid"
"alexander_-_the_arm_of_the_son","4","desc_bad_start: ', which is a sort of tankbuster.；MT開大減傷 雙T swap接力。' | desc_bad_start: ', which inflicts damage every time you move or use actions.' | desc_bad_start: '.；依預兆走位處理。' | desc_bad_start: ', a doom Doom (status effect)-Type debuff, and must kill an Alarum add before it runs out.'"
"alexander_-_the_arm_of_the_son_savage","1","boss_no_mnemonic: Quickthinx Allthoughts"
"alexander_-_the_breath_of_the_creator","1","boss_no_mnemonic: Lamebrix Strikebocks"
"alexander_-_the_breath_of_the_creator_savage","4","desc_truncated: 'The main tank will receive a Prey marker and tether to the boss. The off tank will either need to Provoke the boss so the main tank can run away and b...' | desc_truncated: 'The boss will summon clones around the arena and debuff players with Extreme Caution. This debuff requires players to stop attacking the boss until it...' | desc_truncated: 'This set of charges will be the move in and move out mechanics, however they will be in a random order, so players will need to pay attention to see w...' | desc_truncated: 'The boss tethers to a player, begins to spin and slowly advances towards them. Anyone hit by this attack will be knocked back and and take heavy damag...'"
"alexander_-_the_burden_of_the_father","1","boss_no_mnemonic: The Manipulator"
"alexander_-_the_burden_of_the_father_savage","3","mnemonic_no_zh: '3）Discoid' | desc_bad_start: '.；依預兆走位處理。' | desc_bad_start: '.；依預兆走位處理。'"
"alexander_-_the_burden_of_the_son","13","desc_truncated: 'This attack deals high damage and debuffs a player with magic vulnerability up Magic Vulnerability Up, making Hydrothermal Missile deal massive damage...' | desc_truncated: 'The boss will begin charging, then fire a massive beam that deals heavy damage, debuffs with vulnerability up Vulnerability Up and has a heavy knockba...' | desc_truncated: 'The boss will summon two Steam Regulator A and two Steam Regulator B. Players need to burn these down quickly, as they will soon explode and deal raid...' | desc_truncated: 'Four players are tethered to an orb that slowly starts moving towards them. If these orbs touch their player, they will die. Tanks should take these h...' | desc_truncated: 'The boss summons AoEs under players, dropping missiles on those spots. If a player is hit, they will take heavy damage and be debuffed with vulnerabil...' | desc_truncated: 'A player will be marked with a large shimmering AoE and a chunk of ice over their head. Wherever the player is when the marker disappears, a persistin...' | desc_truncated: 'Drops an AoE to where the player was standing. Leaves behind a persistent lava puddle that deals damage when players stand in it, and debuffs with slu...' | desc_truncated: 'The boss will rise up and summon canons to its arms. Though the effect will show on both arms, players need to watch to see if the boss summons one or...' | desc_truncated: 'Players will be marked with a blue arrow, then a clone of the boss will drop on them shortly after. These clones will then charge in a straight line f...' | desc_truncated: 'A player is surrounded by a circle with orbs overhead. The orbs indicate how many players need to stand in that circle to mitigate the damage. If too ...' | desc_truncated: 'The boss checks where players are standing to see what height they are at. If players are standing on the correct floor height for their debuff, the p...' | desc_truncated: 'Four players have AoEs dropped underneath them, and one player is marked for stacking. Any player hit by the AoEs will take heavy damage and be debuff...' | desc_truncated: 'The boss turns towards a player and fires lasers perpetually. Every second standing in this attack deals heavy damage and a stack of vulnerability up ...'"
"alexander_-_the_burden_of_the_son_savage","9","desc_wiki_artifact ({{): 'and {{Status effect|buff|File:Companion attack up icon.' | desc_bad_start: '.' | desc_bad_start: '.' | desc_bad_start: '.' | desc_bad_start: '.' | desc_bad_start: '.' | desc_bad_start: '.' | desc_bad_start: '.' | desc_bad_start: '.'"
"alexander_-_the_cuff_of_the_father","1","boss_no_mnemonic: Wave Enemies"
"alexander_-_the_cuff_of_the_father_savage","1","boss_no_mnemonic: Living Liquid + Liquid Hand"
"alexander_-_the_cuff_of_the_son","1","boss_no_mnemonic: Vortexer"
"alexander_-_the_cuff_of_the_son_savage","10","desc_bad_start: '.' | desc_bad_start: ', and {{status effect|debuff|File:HP penalty icon1.' | desc_wiki_artifact ({{): ', and {{status effect|debuff|File:HP penalty icon1.' | desc_bad_start: '.' | desc_wiki_artifact ({{): 'or {{status effect|debuff|File:LowArithmeticDebuff.' | desc_bad_start: '.' | desc_wiki_artifact ({{): '{{status effect|debuff|File:Compressed lightning icon1.' | desc_bad_start: '.' | desc_bad_start: ', a very high damage knockback attack.' | desc_bad_start: '.'"
"alexander_-_the_eyes_of_the_creator","1","boss_no_mnemonic: Refurbisher 0"
"alexander_-_the_eyes_of_the_creator_savage","1","desc_bad_start: '.；依預兆走位處理。'"
"alexander_-_the_fist_of_the_father","1","desc_bad_start: '.'"
"alexander_-_the_fist_of_the_father_savage","8","desc_bad_start: '.；依預兆走位處理。' | desc_bad_start: '.；依預兆走位處理。' | desc_wiki_artifact (</): 'enemies per Oppressor, which will <u>tether to the first person who attacks them</u> and completely ignore enmity.' | desc_bad_start: '.；依預兆走位處理。' | desc_bad_start: ', which transfers one stack of {{status effect|debuff|File:MiniStackingDebuff.' | desc_wiki_artifact ({{): ', which transfers one stack of {{status effect|debuff|File:MiniStackingDebuff.' | desc_wiki_artifact (</): 'health</u> when it is summoned, but not after.' | desc_bad_start: ', which will wipe the party if the cast successfully finishes.'"
"alexander_-_the_fist_of_the_son","1","boss_no_mnemonic: Ratfinx Twinkledinks"
"alexander_-_the_fist_of_the_son_savage","2","desc_truncated: 'A frontal cleave that gives a stack of physical vulnerability up 2 Physical Vulnerability Up for 20 seconds. Hits twice initially, then three times, c...' | desc_bad_start: '.；依預兆走位處理。'"
"alexander_-_the_heart_of_the_creator","1","mnemonic_no_zh: '3）Prey'"
"alexander_-_the_heart_of_the_creator_savage","4","desc_truncated: 'Summons an Armored Pauldron and begins charging Overboost. If the Armored Pauldron is not destroyed before the cast finishes, E.D.D gains a powerful d...' | desc_truncated: 'Spread Pattern - A massive unmarked Area of Effect#Simple Circle AoE that hits everything except the very edge of the arena. Later combined with Area ...' | desc_truncated: 'Stack Pattern - A small unmarked Area of Effect#Simple Circle AoE is dropped on the location each player was standing when Optical Sight finished cast...' | desc_truncated: 'Rotation Pattern - Two explosions will rotate clockwise around the edges of the arena, firing four times before lastly hitting the center. Later combi...'"
"alexander_-_the_soul_of_the_creator","12","mnemonic_truncated: '3）Communion' | mnemonic_no_zh: '3）Communion' | desc_wiki_artifact (<br>): '- Frontal cleave on the MT that deals moderate damage. Keep the boss facing away from the group.<br>' | desc_truncated: '- The boss will shoot out wide line AoEs (wider than his hitbox) in a cross pattern from his front, back, and both sides. Safe spots are a few steps a...' | desc_truncated: '- Two players will be marked with a round red marker. After a few seconds, they will be hit with a small AoE, dealing heavy damage to themselves and a...' | desc_truncated: '- Spawns 4 The General's Wing adds at the intermediate directions. These will repeatedly cast Almost Holy until they are dead. It's best to focus down...' | desc_truncated: '- Used after all the Waves have been killed or too much time passes. Must use the Tank Limit Break, or the party will wipe. Signals the start of Phase...' | desc_truncated: '- Stops time for all players for ~9 seconds. Buffs and debuffs will have their countdown timers paused until this debuff falls off. Players will need ...' | desc_truncated: '- Marks 2 random players with a green marker before Temporal Stasis goes off, hits shortly after players are frozen. Deals AoE damage centered on the ...' | desc_truncated: '- The boss will move to the center and spawn 4 adds around him. These adds will then move towards the outer edge of the arena before entering a portal...' | desc_truncated: '- Spawns multiple large black AoEs with red edges overlapping each other, with tiny safe spots in little triangles between the circles towards the bos...' | desc_truncated: '- Only used after Summon Alexander. Targets multiple players with red laser beams extending from the Giant Alexander. Players will then drop 4 white A...'"
"alexander_-_the_soul_of_the_creator_savage","14","mnemonic_truncated: '3）Inception' | mnemonic_no_zh: '3）Inception' | desc_truncated: 'The boss fires a large donut AoE that can only be avoided by moving close to the boss. If hit, most players will die. It also debuffs with infirmity I...' | desc_truncated: 'Fires line AoEs from the boss, can only be dodged on the diagonals of the boss's hitbox. If a player gets hit by this, they will most likely die. If n...' | desc_truncated: '**The General's Wing: These cast Almost Holy constantly until deafeated. After each cast they will receive a stack of Magic Damage Up. Focus on taking...' | desc_truncated: '**The General's Time: This ad will have a large green circle underneath it that buffs the other ad that spawns with damage up Damage Up. Have the off ...' | desc_truncated: 'Players need to destroy all ads before the boss finishes casting this, otherwise it is a wipe. Even with all the ads dead, Tank players will still nee...' | desc_truncated: 'The boss will return to the center of the arena and grow wings. The main tank should also provoke and establish enmity, as the enmity has reset for th...' | desc_truncated: 'Players will be completely frozen for about 8 seconds and hit by an attack. They will also receive specific debuffs that require players to participat...' | desc_truncated: 'Players will receive a massive AoE that must be moved away from the rest of the party to avoid. It also inflicts a magic vulnerability up Magic Vulner...' | desc_truncated: 'Players will need to stack with other players to split the damage of this attack in a small AoE, however they can not stack with another player that h...' | desc_truncated: 'Two players will be tethered with a blue line, and both hit by a small AoE attack. Players tethered together must move as far away from each other as ...' | desc_truncated: 'Random players are marked, and a crystal drops on them, dealing damage to the player as well as splash damage and leaves a point blank AoE. If the bos...' | desc_truncated: 'The boss will disappear and reappear at one of eight locations on the arena. If the crystals were placed at the intercardinals, players can determine ...'"
"alphascape_v10","1","boss_no_mnemonic: Chaos"
"alzadaals_legacy","7","mnemonic_truncated: '2）B2 Armored Chariot：Articulated Bits / Diffusion Ray / Graviton Cannon' | desc_truncated: 'Ambujam submerges one or both of its larger tentacles and moves them around, denoted by ripples in the water. Eventually the tentacles will stop movin...' | desc_truncated: 'The Armored Chariot moves to the center of the arena and creates an electricity puddle inside its hitbox, which inflicts an electrocution Electrocutio...' | desc_wiki_artifact (File:): 'Kapikulu moves to the northern edge of the arena and pulls all players to him, wrapping everyone in ribbons and inflicting File:Fetters icon2.png Fett...' | desc_truncated: 'Kapikulu moves to the northern edge of the arena and pulls all players to him, wrapping everyone in ribbons and inflicting File:Fetters icon2.png Fett...' | desc_truncated: 'The second cast of Spin Out will also have the boss use this attack. Kapikulu leaps to the opposite edge of the arena and fires a wide line attack dir...' | desc_truncated: 'Several yellow and green ropes will descend from the ceiling. Kapikulu will tether to one of the ropes, causing an orb to fall from all other ropes of...'"
"amaurot","3","boss_no_mnemonic: Therion | boss_no_mnemonic: The Construct | boss_no_mnemonic: Hythlodaeus"
"anamnesis_anyder","3","boss_no_mnemonic: Forgiven Trespass | boss_no_mnemonic: Phoebe | boss_no_mnemonic: Forgiven Lacrymose"
"antitower","5","desc_truncated: 'The boss will begin singing, turning two players (the healer and one DPS) into frogs which will prevent them from attacking, while continually spawnin...' | desc_truncated: 'The system message ""Ziggy takes careful aim"" and the boss tethers one player and marks them with a crosshair. The targeted player should hide behind a...' | desc_truncated: 'Targets a player with a red eye above their head and strikes them with large untelegraphed frontal cone. Causes confusion if hit. This attack can be a...' | desc_truncated: 'The boss summons three purple barriers, leaving one side empty. The boss will only be vulnerable to attacks from the empty side. Hitting it from a pro...' | desc_truncated: 'Transforms two players into dolls (Calca and Brina) that also inflicts a bleeding Bleeding damage-over-time. The dolls will use donut and conal AoE at...'"
"aurum_vale","8","desc_wiki_artifact (File:): 'is an instant ability that places a damage over time debuff named File:Gold lung icon1.png Gold Lung on all players. This effect stacks. The debuff ca...' | desc_truncated: 'is an instant ability that places a damage over time debuff named File:Gold lung icon1.png Gold Lung on all players. This effect stacks. The debuff ca...' | desc_truncated: 'is a rectangular laser fired from the eye of Coincounter onto a random player. The player will take moderate amount of damage and become inflicted wit...' | desc_wiki_artifact ({{): 'is a frontal cone AoE spell that inflicts the debuffs paralysis Paralysis, silence Silence, poison Poison, blind Blind, slow Slow, {{status effect|deb...' | desc_truncated: 'is a frontal cone AoE spell that inflicts the debuffs paralysis Paralysis, silence Silence, poison Poison, blind Blind, slow Slow, {{status effect|deb...' | desc_wiki_artifact (File:): 'is an ability that deals a small amount of damage and adds one stack of File:Burrs.png Burrs on a random player.' | desc_wiki_artifact (File:): 'is an ability that inflicts the player with the debuff File:Burrs.png Burrs and deals small amount of damage per stack of Burrs already on the player....' | desc_truncated: 'is an ability that inflicts the player with the debuff File:Burrs.png Burrs and deals small amount of damage per stack of Burrs already on the player....'"
"a_relic_reborn_the_chimera","1","mnemonic_no_zh: '3）Gelid Charge'"
"a_relic_reborn_the_hydra","1","mnemonic_no_zh: '3）Fear Itself'"
"baelsars_wall","1","desc_truncated: 'Multiple swords rain down around the arena, damaging to nearby players. After finishing the cast, the boss does a room-wide AoE, and the swords become...'"
"battle_in_the_big_keep","13","mnemonic_no_zh: '3）Dragonstrike' | desc_truncated: 'Used by Gilgamesh. Marks a random player with a crosshair. After a few seconds, he will shoot a missile at the target, which deals damage in an area a...' | desc_wiki_artifact (File:): 'Used by Gilgamesh. Two players will be tethered together and debuffed with File:Minimum icon1.png Minimum, making them tiny and forcing them to deal l...' | desc_truncated: 'Used by Gilgamesh. Two players will be tethered together and debuffed with File:Minimum icon1.png Minimum, making them tiny and forcing them to deal l...' | desc_wiki_artifact (File:): 'Used by Gilgamesh. Random players will be transformed into File:Chicken icon1.png Chickens for ~25 seconds and be unable to use any skills or abilitie...' | desc_truncated: 'Used by Gilgamesh. Random players will be transformed into File:Chicken icon1.png Chickens for ~25 seconds and be unable to use any skills or abilitie...' | desc_truncated: 'A wind puddle AoE randomly placed around the arena. These stay for quite a long time and multiples can appear. Standing in one will cause the player t...' | desc_truncated: '<ref>This attack name is both a pun on Bradamante (Nael van Darnus' gunhalberd) and a reference to [https://finalfantasy.fandom.com/wiki/Excalipoor_(w...' | desc_truncated: 'A roomwide AoE that deals moderate damage. Can be avoided if players are standing on the slightly raised parts of the arena (won't have the light glow...' | desc_truncated: 'Multiple crisscrossing white line AoEs will form, with squares of safe spots beneath them. Immediately after, additional crisscrossing line AoEs will ...' | desc_truncated: 'Used after Gilgamesh reaches 90%. Chains a random player (generally a healer?) to the boss, ensnaring them and preventing the use of actions and movem...' | desc_truncated: 'Frontal multihit cleave attack on the MT. Basically a tankbuster. Other players should avoid standing in front; the MT can also just walk behind the b...' | desc_truncated: 'Multiple purple orbs will spawn in either the center or in a ring around the edge of the arena. Players will need to move to dodge these, and then imm...'"
"battle_on_the_big_bridge","6","mnemonic_no_zh: '3）Whirlwinds' | desc_truncated: '<ref>This attack name is both a pun on Bradamante (Nael van Darnus' gunhalberd) and a reference to [https://finalfantasy.fandom.com/wiki/Excalipoor_(w...' | desc_wiki_artifact (File:): 'A random player will be turned into a File:Toad icon1.png Toad for 20 seconds causing ""Transformed into a toad and unable to execute actions."". Will b...' | desc_truncated: 'A random player will be turned into a File:Toad icon1.png Toad for 20 seconds causing ""Transformed into a toad and unable to execute actions."". Will b...' | desc_wiki_artifact (File:): 'Player will be File:Minimum icon1.png mini'd for 20 seconds with a heavy Heavy debuff. Gilgamesh will chase them and use Bitter End repeatedly.' | desc_truncated: 'Deals moderate damage and applies a confused Confused (Status Effect) debuff, which will cause the afflicted player to attack the nearest party member...'"
"binding_coil_of_bahamut_-_turn_1","2","desc_bad_start: '.；依預兆走位處理。' | desc_bad_start: ', bringing the slimes down to ~20% health before pulling them into range of Caduceus.'"
"binding_coil_of_bahamut_-_turn_2","2","mnemonic_no_zh: '1）ADS：Node' | desc_bad_start: ', but all six Nodes can be killed if the party chooses.'"
"binding_coil_of_bahamut_-_turn_3","1","boss_no_mnemonic: Jumping Puzzle + ADS"
"binding_coil_of_bahamut_-_turn_5","1","boss_no_mnemonic: Twintania"
"brayfloxs_longstop","3","desc_truncated: 'Brayflox will then go to a random party member for the boss to use Burning Cyclone on, which does light-moderate damage in a cleave to the player. Thi...' | desc_truncated: 'the boss will target a random party member and encase them in a Queer Bubble add, inflicting bind Bind, Physical Damage Down (decreases the player's p...' | desc_truncated: 'four small circular AoEs that appear around the arena. Will spawn poisonous pods that will grow in size and eventually explode in wider AoEs. Inflicts...'"
"brayfloxs_longstop_hard","3","desc_bad_start: ', a small casted AoE centred around itself, which will cause the puddles to explode, dealing damage to any player standing within the puddles of cerul...' | desc_truncated: ', a small casted AoE centred around itself, which will cause the puddles to explode, dealing damage to any player standing within the puddles of cerul...' | desc_truncated: '** At around 75%, 50%, and 25% HP, the boss will start circling the room's outer perimeter and become un-targetable, dealing damage to players within ...'"
"castrum_marinum","1","boss_no_mnemonic: The Emerald Weapon"
"castrum_marinum_extreme","1","boss_no_mnemonic: The Emerald Weapon"
"castrum_meridianum","4","mnemonic_truncated: '1）B1 The Black Eft：Incendiary Support / Request Assistance / Magitek Cannon' | desc_truncated: 'A sequence of a large line AoE down the center of the arena followed by 6 circle AoEs on the sides of it. Livia will cast this four times on various s...' | desc_truncated: 'Circular AoE attack that is done at the same time as 6 other AoEs on the outside of the arena, leaving two safe areas on opposite edges. This is follo...' | desc_truncated: '8 line AoEs will go off in the middle of the arena, followed by four flare markers on the edge. Players must move in between two of the line AoEs and ...'"
"cinder_drift","1","boss_no_mnemonic: The Ruby Weapon"
"cinder_drift_extreme","1","boss_no_mnemonic: The Ruby Weapon"
"cloud_deck","1","boss_no_mnemonic: The Diamond Weapon"
"cloud_deck_extreme","1","boss_no_mnemonic: The Diamond Weapon"
"clyteum","4","desc_truncated: 'The boss will walk to the north wall, receive a temporary directional disregard Directional Disregard, and spawn a moving red conal AoE telegraph. The...' | desc_truncated: 'Your foe is scanning for moving targets! Spawns an unavoidable line AoE that will sweep across the arena. When within the AoE, players will be inflict...' | desc_truncated: 'The boss will begin spinning, indicating a late-telegraphed line AoE in front of it. It will then become untargetable and roll around the arena outsid...' | desc_truncated: 'The boss takes control of all adds and lifts them airborne. They will rotate around the arena until the cast bar fills, then use their respective atta...'"
"containment_bay_p1t6","8","mnemonic_no_zh: '3）Blue Meteors' | desc_truncated: 'is a giant donut AoE emitted from Sophia with a safe spot just inside her hitbox. If players are far enough away, it can also be avoided by standing a...' | desc_bad_start: ', the lower-half of Sophia, will occasionally disappear from beneath her and materialize at the edges of the arena. After doing so, it will charge up ...' | desc_truncated: ', the lower-half of Sophia, will occasionally disappear from beneath her and materialize at the edges of the arena. After doing so, it will charge up ...' | desc_truncated: 'is much like the Daughter attack used by her lower half. Sophia herself will move to the eastern or western edge of the arena and charge a huge straig...' | desc_truncated: 'is a Paladin-based add that utilizes AoE attacks and a directional parry. Players who attack the wrong side during the parry-mechanic will be knocked ...' | desc_truncated: 'is a Healer-based add which will heal the other adds and also uses a gaze mechanic to confuse any players looking directly at it. Ideally, this add sh...' | desc_truncated: 'is a Lancer-based add that will eventually drop a persistent ice puddle on the ground at its current position. Ideally, this add should be positioned ...'"
"containment_bay_p1t6_extreme","5","mnemonic_truncated: '3）Horizontal Kenoma' | desc_bad_start: '.；依預兆走位處理。' | desc_bad_start: '.；依預兆走位處理。' | desc_bad_start: ', which can only be cured by defeating all three Demiurges.' | desc_wiki_artifact ({{): 'Gain's a {{status effect|debuff|File:Directional parry icon1.'"
"containment_bay_s1t7_extreme","5","mnemonic_truncated: '1）Sephirot：Ratzon' | mnemonic_truncated: '2）Triple Trial / Ein Sof' | mnemonic_no_zh: '3）Ein Sof Ohr' | desc_bad_start: '.；依預兆走位處理。' | desc_bad_start: ', dealing unavoidable party-wide damage depending on which type died.'"
"containment_bay_z1t9","10","mnemonic_no_zh: '3）Tyrfing' | desc_truncated: 'is a frontal cleave that periodically targets the main tank. Due to this, the main-tank should make sure that Zurvan is faced away from the group unti...' | desc_truncated: 'will occur shortly after Zurvan has leapt from the arena using Soar. At first, two players are targeted by waves of circular AoEs that will follow the...' | desc_truncated: 'is cast immediately after Flaming Halberd at a random Healer, assuming one is alive. This is a basic stack-mechanic where players should group up to a...' | desc_truncated: 'is a persistent AoE puddle centred on the boss (about the size of Zurvan's hitbox) which will inflict damage and slow the movement of anyone who stand...' | desc_truncated: 'will cause multiple AoE's to target random players. Ideally, players should stack up so that these AoE's land on top of each other, providing more spa...' | desc_truncated: 'is a massive donut AoE, centred on Zurvan, that is cast immediately after Southern Cross. To avoid this attack, players must remain close to Zurvan hi...' | desc_truncated: 'is a huge AoE cast straight after Ciclicle which is centred on Zurvan while he is in the middle of the room. To avoid this, players must move to the o...' | desc_truncated: 'contains two Execrated Will, which should be picked up by the tanks, and one Execrated Wit (caster add) which should be focused down by the rest of th...' | desc_truncated: 'will begin descending around the arena in a triangular pattern, displayed as red or white. Players that were marked by Infinite Fire should stand with...'"
"copperbell_mines","2","desc_truncated: 'Kottos will jump to 3 areas, causing a massive circle AoE to appear at the location. Players should move to the small safe spot at the edge of the are...' | desc_truncated: 'The boss will recenter and cast a circle AoE in the center along with 5 more on the outside of the arena. Players should move into the safe spots in b...'"
"crown_of_the_immaculate","1","boss_no_mnemonic: Innocence"
"crown_of_the_immaculate_extreme","1","boss_no_mnemonic: Innocence"
"cutters_cry","4","desc_truncated: 'is the strongest add. It has an AoE frontal cone ability, Mandible Bite, that damages all targets caught within. The Marshal can also use an ability n...' | desc_truncated: 'is used by the Worm when it is burrowed. It appears as a whirlwind on the ground, does small amount of damage and pulls all party members towards its ...' | desc_truncated: 'is a single-target ability used by the Worm. It inflicts a heavy sludge Sludge DoT (~200 HP per tick) on a player which should be removed as soon as p...' | desc_truncated: 'The Chimera will re-center itself and mark one player with an orange marker. It then sends out a purple ball of energy that travels to the target and ...'"
"dancing_plague","1","boss_no_mnemonic: Titania"
"dancing_plague_extreme","1","boss_no_mnemonic: Titania"
"dark_inside","1","boss_no_mnemonic: Zodiark"
"deltascape_v20","1","boss_no_mnemonic: Catastrophe"
"deltascape_v40","1","boss_no_mnemonic: Exdeath"
"doma_castle","3","boss_no_mnemonic: Magitek Rearguard | boss_no_mnemonic: Magitek Predator | boss_no_mnemonic: Hypertuned Grynewaht"
"dragons_neck","3","mnemonic_no_zh: '3）Snort' | desc_truncated: 'This time, Typhon goes to the center of the arena and deals a huge knockback, followed by 4 back-to-back casts of Snort that also deal knockback. Stay...' | desc_truncated: 'is used by Typhon late in the fight, and may require stalling as to not kill him too quickly. Alternatively, Typhon uses Snort more frequently in Lock...'"
"drowned_city_of_skalla","3","boss_no_mnemonic: Hrodvitnir | boss_no_mnemonic: Glaring Eye | boss_no_mnemonic: Goddess Skalla"
"dun_scaith","11","desc_truncated: 'or Arm's Length to negate the suction; it's best to use it after the first pull which allows you to casually saunter away from the center with plenty ...' | desc_wiki_artifact (</): '|| - Proximity markers</br>- Stand directly opposite of the proximity marker and take the damage.' | desc_truncated: '(no cast bar): Telegraphed trio of line AoE lasers. The boss will face a random direction for the first laser cast, then while remaining facing in tha...' | desc_truncated: 'Wings get big and do an hourglass aoe in the direction they are facing, get between the wings. She will always slap either her front left and back rig...' | desc_truncated: 'When the message ""Shadows gather on the floor"" appears and the room turns dark, stop all movement, otherwise shadows hands will grab you from below, s...' | desc_truncated: 'A proximity marker AoE will spawn somewhere. From it, a Connla add will spawn needs to be grabbed by an offtank and killed away from Scathach, if it g...' | desc_truncated: 'Circular red and black marker will be put on some players. Affected players should bait the orbs away from group by constantly moving away from other ...' | desc_truncated: 'link to a player and follows them, if it reaches the players it kills them. The tethered player can face the Shadow Limb to stop their movement. The L...' | desc_truncated: 'Periodically, a blue pool will appear at a random location. Shortly after, either an asterisk pattern of line telegraphs or a sequence of line telegra...' | desc_truncated: '- Heavy Tankbuster, does around 25k damage. Guaranteed crit at the start of the phase due to the boss's absorb shield, so tanks should use CDs and hea...' | desc_truncated: '- Stack marker & gaze attack originating from the marked player. This player should move slightly away from the boss, so everyone else can stand betwe...'"
"dying_gasp","1","boss_no_mnemonic: Hades"
"dzemael_darkhold","3","boss_no_mnemonic: All-seeing Eye | boss_no_mnemonic: Taulurd | boss_no_mnemonic: Batraal"
"euphrosyne","3","boss_no_mnemonic: Nophica | boss_no_mnemonic: Halone | boss_no_mnemonic: Menphina"
"fell_court_of_troia","3","boss_no_mnemonic: Scarmiglione | boss_no_mnemonic: Cagnazzo | boss_no_mnemonic: Barbariccia"
"final_coil_of_bahamut_-_turn_1","1","boss_no_mnemonic: Imdugud + Nael"
